3.226.198.37 bot - "2023-05-29 08:48:57" https://cpsujournals.com/?journal=psdrmj&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:48:59" https://cpsujournals.com/?journal=piej&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:49:01" https://cpsujournals.com/?journal=piej&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:49:23" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:49:25" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=37 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:49:27" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=53 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:49:29" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=38 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
66.249.79.85 bot - "2023-05-29 10:16:50" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=28 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
182.22.28.106 - - "2023-05-29 10:19:04" https://cpsujournals.com/?journal=piej&page=index 200 "Y!J-DLC/1.0 (https://support.yahoo-net.jp/PccSearch/s/article/H000007955)"
5.255.231.51 bot - "2023-05-29 10:51:50" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=40 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
95.108.213.94 bot - "2023-05-29 10:56:08" https://cpsujournals.com/?journal=psdrmj&page=index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
2001:4453:5a7:c00:992c:bfec:3ed7:9fc - - "2023-05-29 11:39:49" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=39 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
2001:4453:5a7:c00:992c:bfec:3ed7:9fc - - "2023-05-29 11:39:57" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=39 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 12:45:51" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 12:46:13" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 12:46:13" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 12:46:24" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
2a03:2880:22ff:78::face:b00c - - "2023-05-29 12:47:00" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
175.176.41.235 - - "2023-05-29 12:48:15" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Linux; Android 12; M2101K6G Build/SKQ1.210908.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/410.0.0.17.85;]"
175.176.41.235 - - "2023-05-29 12:49:56" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Linux; Android 12; M2101K6G Build/SKQ1.210908.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/410.0.0.17.85;]"
175.176.41.235 - - "2023-05-29 12:49:57" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Linux; Android 12; M2101K6G Build/SKQ1.210908.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/410.0.0.17.85;]"
49.144.114.52 - - "2023-05-29 13:06:26" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
49.144.114.52 - - "2023-05-29 13:06:39" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
49.144.114.52 - - "2023-05-29 13:06:40" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
49.144.114.52 - - "2023-05-29 13:11:46" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
2a03:2880:ff:78::face:b00c - - "2023-05-29 13:15:30" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
112.198.74.111 - - "2023-05-29 13:21:59" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 13:23:22" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (iPad; CPU OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 LightSpeed [FBAN/MessengerLiteForiOS;FBAV/410.0.0.23.86;FBBV/477357144;FBDV/iPad13,1;FBMD/iPad;FBSN/iPadOS;FBSV/16.3.1;FBSS/2;FBCR/;FBID/tablet;FBLC/en;FBOP/0]"
